Date,Region,Event
"September","Asia-Pacific","Japan's ruling Liberal Democratic Party will hold leadership elections."
"September","Eurasia","Ukrainian President Volodymyr Zelensky will visit the United States to meet U.S. President Joe Biden and attend the U.N. General Assembly."
"September","Europe","Austria will hold parliamentary elections."
"September","MENA","Iranian President Masoud Pezeshkian will meet with Iraqi Prime Minister Mohammed Shia al-Sudani in Baghdad, Iraq, between Sept. 10 and Sept. 21."
"September","South Asia","Maldives President Mohamed Muizzu will visit India."
"September 14","Europe","The NATO Military Committee will meet in Prague, Czech Republic, through Sept. 15."
"September 14","MENA","The Islamic holiday Mawlid, which celebrates the anniversary of the birth of the Prophet Muhammad, begins at sundown."
"September 15","Americas","Mexican President Andres Manuel Lopez Obrador will sign a controversial judicial reform into law."
"September 15","Americas","Argentine President Javier Milei will present the 2025 budget proposal before Congress."
"September 15","Americas","Guatemala will celebrate Independence Day."
"September 15","Asia-Pacific","China will celebrate the Mid-Autumn Festival through Sept. 17."
"September 15","Eurasia","German Chancellor Olaf Scholz will visit Uzbekistan."
"September 15","Eurasia","French Minister for Europe and Foreign Affairs Stephane Sejourne will travel to Armenia."
"September 15","MENA","The Islamic holiday Mawlid ends."
"September 16","Americas","Mexico will celebrate Independence Day."
"September 16","Asia-Pacific","China will celebrate the Mid-Autumn Festival through Sept. 17."
"September 16","Eurasia","German Chancellor Olaf Scholz will visit Kazakhstan through Sept. 17."
"September 16","Eurasia","The IMF will resume online consultations with Russia ahead of its first visit since 2019."
"September 16","Eurasia","An initiative group headed by Armenia's former justice minister will begin collecting signatures on holding a referendum on Armenia's accession to the European Union."
"September 17","Asia-Pacific","China will celebrate the Mid-Autumn Festival through Sept. 17."
"September 17","Eurasia","German Chancellor Olaf Scholz will visit Kazakhstan through Sept. 17."
"September 17","Eurasia","Moldova will host a ministerial conference within the Moldova Partnership Platform to support European integration."
"September 17","Eurasia","The Parliamentary Assembly of the Council of Europe (PACE) will make a pre‐electoral visit to Moldova through Sept. 18 to assess the country's political climate."
"September 17","Europe","European Commission President Ursula von der Leyen will announce plans for her next commission in the European Parliament."
