Date,Time,Country,Event,Actual,Expected,Previous
"3月17日星期一","9:30","中国","中国住房价格指数 (2月)","-4.90%","-","-5%"
"3月17日星期一","10:00","中国","中国城镇固定资产投资(年初至今) 年率 (2月)","4.10%","3.60%","3.20%"
"3月17日星期一","10:00","中国","中国规模以上工业增加值年率 (2月)","5.90%","5.30%","6.20%"
"3月17日星期一","10:00","中国","中国零售销售年率 (2月)","4%","4%","3.70%"
"3月17日星期一","20:30","美国","美国核心零售销售年率 (2月)","0.3%","0.50%","-0.40%"
"3月17日星期一","20:30","美国","美国纽约联储制造业指数 (3月)","-20","-1.9","5.7"
"3月17日星期一","20:30","美国","美国零售对照组 (2月)","1%","-","-0.80%"
"3月17日星期一","20:30","美国","美国零售销售月率 (2月)","0.2%","0.70%","-0.90%"
"3月17日星期一","20:30","美国","零售销售（同比） (2月)","3.1%","-","3.9%"
"3月17日星期一","22:00","美国","美国NAHB房价指数 (3月)","39","42","42"
"3月18日星期二","20:30","美国","美国出口物价指数月率 (2月)","0.10%","-0.20%","1.30%"
"3月18日星期二","20:30","美国","美国出口物价指数年率 (2月)","2.10%","-","2.70%"
"3月18日星期二","20:30","美国","美国进口物价指数月率 (2月)","0.40%","-0.10%","0.4%"
"3月18日星期二","20:30","美国","美国进口物价指数年率 (2月)","2%","-","1.90%"
"3月18日星期二","20:30","美国","美国新屋开工 (2月)","1.501M","1.38M","1.35M"
"3月18日星期二","20:30","美国","美国新屋开工月率 (2月)","11.20%","-","-11.5%"
"3月18日星期二","20:30","美国","美国营建许可 (2月)","1.456M","1.45M","1.473M"
"3月18日星期二","20:30","美国","美国营建许可月率 (2月)","-1.20%","-","-0.6%"
"3月18日星期二","20:55","美国","美国红皮书指数年率","5.20%","-","5.70%"
"3月18日星期二","21:15","美国","美国产能利用率 (2月)","78.20%","77.80%","77.7%"
"3月18日星期二","21:15","美国","美国工业生产月率 (2月)","0.70%","0.20%","0.3%"
"3月18日星期二","22:00","美国","美国商业库存月率 (1月)","0.30%","-","-0.20%"
"3月19日星期三","19:00","美国","美国MBA抵押贷款申请 (3月14日)","-6.20%","-","11.20%"
"3月20日星期四","2:00","美国","利率预测—一年期","3.40%","-","3.90%"
"3月20日星期四","2:00","美国","利率预测—更长期","3%","-","3%"
"3月20日星期四","2:00","美国","利率预测—两年期","3.10%","-","3.40%"
"3月20日星期四","2:00","美国","利率预测—当前","3.90%","-","4.40%"
"3月20日星期四","2:00","美国","美联储公开市场委员会经济预测报告","","",""
"3月20日星期四","2:00","美国","美联储利率决议","4.50%","4.50%","4.50%"
"3月20日星期四","2:00","美国","美联储货币政策声明","讲话","",""
"3月20日星期四","2:30","美国","FOMC新闻发布会","讲话","",""
"3月20日星期四","4:00","美国","美国长期资本净流入 (1月)","$-45.2B","$101.1B","$75B"
"3月20日星期四","4:00","美国","美国国际资本净流入 (1月)","$-48.8B","-","$103.2B"
"3月20日星期四","9:15","中国","中国人民银行公布利率决议","3.10%","3.10%","3.10%"
"3月20日星期四","20:30","美国","（美国）初请失业金人数四周平均值","227K","-","226.25K"
"3月20日星期四","20:30","美国","美国初请失业救济金人数","223K","224K","220K"
"3月20日星期四","20:30","美国","美国费城联储制造业指数 (3月)","12.5","8.5","18.1"
"3月20日星期四","20:30","美国","美国经常帐 (Q4)","$-303.9B","$-325.5B","$-310.3B"
"3月20日星期四","20:30","美国","美国续请失业金人数","1.892M","1.89M","1.859M"
"3月20日星期四","22:00","美国","美国成屋销售 (2月)","4.26M","3.95M","4.09M"
"3月20日星期四","22:00","美国","美国成屋销售月率 (2月)","4.20%","-","-4.7%"
"3月20日星期四","22:40","美国","美国总统特朗普发表讲话","讲话","",""
"3月21日星期五","20:30","美国","美联储官员奥斯丹·D·古尔斯比讲话","讲话","",""
"3月21日星期五","21:05","美国","美联储公开市场委员会成员威廉姆斯发表讲话","讲话","",""
"3月21日星期五","23:00","美国","美国总统特朗普发表讲话","讲话","",""
"3月22日星期六","3:30","美国","CFTC原油投机净头寸","-","-","164.1K"
"3月22日星期六","3:30","美国","CFTC黄金投机净头寸","-","-","$236.1K"
"3月22日星期六","3:30","美国","CFTC标准普尔500指数投机净头寸","-","-","$80.6K"
